run_name,train_seed,p_detect_false,p_review,episodes,eval_seed,return_mean,gini,false_pos,overturned,net_sanctions
cleanup_iml_agents5_seed0,0,0.0001,0.0,20,0,-0.12500000000000003,0.18523809523809517,1.25,0.0,1.25
cleanup_iml_agents5_seed0,0,0.0001,0.2,20,0,-0.11000000000000003,0.1885714285714285,1.25,0.15,1.1
cleanup_iml_agents5_seed0,0,0.0001,0.5,20,0,-0.10000000000000002,0.16857142857142854,1.25,0.25,1.0
cleanup_iml_agents5_seed0,0,0.0001,0.8,20,0,-0.030000000000000006,0.044285714285714275,1.25,0.95,0.30000000000000004
cleanup_iml_agents5_seed0,0,0.001,0.0,20,0,-1.01,0.3903116883116884,10.1,0.0,10.1
cleanup_iml_agents5_seed0,0,0.001,0.2,20,0,-0.79,0.3962380952380953,10.1,2.2,7.8999999999999995
cleanup_iml_agents5_seed0,0,0.001,0.5,20,0,-0.5250000000000001,0.32104761904761914,10.1,4.85,5.25
cleanup_iml_agents5_seed0,0,0.001,0.8,20,0,-0.195,0.27995238095238095,10.1,8.15,1.9499999999999993
cleanup_iml_agents5_seed0,0,0.01,0.0,20,0,-10.165000000000001,0.40351371322471896,101.65,0.0,101.65
cleanup_iml_agents5_seed0,0,0.01,0.2,20,0,-8.03,0.4354863665183138,101.6,21.3,80.3
cleanup_iml_agents5_seed0,0,0.01,0.5,20,0,-5.0649999999999995,0.370613296817076,101.6,50.95,50.64999999999999
cleanup_iml_agents5_seed0,0,0.01,0.8,20,0,-1.975,0.3976849816849818,101.6,81.85,19.75
cleanup_iml_agents5_seed1,1,0.0001,0.0,20,0,-0.12500000000000003,0.18523809523809517,1.25,0.0,1.25
cleanup_iml_agents5_seed1,1,0.0001,0.2,20,0,-0.11000000000000003,0.1885714285714285,1.25,0.15,1.1
cleanup_iml_agents5_seed1,1,0.0001,0.5,20,0,-0.10000000000000002,0.16857142857142854,1.25,0.25,1.0
cleanup_iml_agents5_seed1,1,0.0001,0.8,20,0,-0.030000000000000006,0.044285714285714275,1.25,0.95,0.30000000000000004
cleanup_iml_agents5_seed1,1,0.001,0.0,20,0,-1.01,0.3903116883116884,10.1,0.0,10.1
cleanup_iml_agents5_seed1,1,0.001,0.2,20,0,-0.79,0.3962380952380953,10.1,2.2,7.8999999999999995
cleanup_iml_agents5_seed1,1,0.001,0.5,20,0,-0.5250000000000001,0.32104761904761914,10.1,4.85,5.25
cleanup_iml_agents5_seed1,1,0.001,0.8,20,0,-0.195,0.27995238095238095,10.1,8.15,1.9499999999999993
cleanup_iml_agents5_seed1,1,0.01,0.0,20,0,-10.165000000000001,0.40351371322471896,101.65,0.0,101.65
cleanup_iml_agents5_seed1,1,0.01,0.2,20,0,-8.03,0.4354863665183138,101.6,21.3,80.3
cleanup_iml_agents5_seed1,1,0.01,0.5,20,0,-5.0649999999999995,0.370613296817076,101.6,50.95,50.64999999999999
cleanup_iml_agents5_seed1,1,0.01,0.8,20,0,-1.975,0.3976849816849818,101.6,81.85,19.75
cleanup_iml_agents5_seed2,2,0.0001,0.0,20,0,-0.065,0.2752380952380953,1.25,0.0,1.25
cleanup_iml_agents5_seed2,2,0.0001,0.2,20,0,-0.05,0.2785714285714286,1.25,0.15,1.1
cleanup_iml_agents5_seed2,2,0.0001,0.5,20,0,-0.04,0.2585714285714286,1.25,0.25,1.0
cleanup_iml_agents5_seed2,2,0.0001,0.8,20,0,0.030000000000000006,0.1942857142857143,1.25,0.95,0.30000000000000004
cleanup_iml_agents5_seed2,2,0.001,0.0,20,0,-0.95,0.39908441558441565,10.1,0.0,10.1
cleanup_iml_agents5_seed2,2,0.001,0.2,20,0,-0.7300000000000001,0.42757142857142866,10.1,2.2,7.8999999999999995
cleanup_iml_agents5_seed2,2,0.001,0.5,20,0,-0.46500000000000014,0.3723809523809525,10.1,4.85,5.25
cleanup_iml_agents5_seed2,2,0.001,0.8,20,0,-0.135,0.329952380952381,10.1,8.15,1.9499999999999993
cleanup_iml_agents5_seed2,2,0.01,0.0,20,0,-10.105,0.4044229482706263,101.65,0.0,101.65
cleanup_iml_agents5_seed2,2,0.01,0.2,20,0,-7.970000000000001,0.4313057284429389,101.6,21.3,80.3
cleanup_iml_agents5_seed2,2,0.01,0.5,20,0,-5.005000000000001,0.37326186342075096,101.6,50.95,50.64999999999999
cleanup_iml_agents5_seed2,2,0.01,0.8,20,0,-1.9149999999999998,0.41158974358974365,101.6,81.85,19.75
cleanup_iml_agents5_seed3,3,0.0001,0.0,20,0,-0.12500000000000003,0.18523809523809517,1.25,0.0,1.25
cleanup_iml_agents5_seed3,3,0.0001,0.2,20,0,-0.11000000000000003,0.1885714285714285,1.25,0.15,1.1
cleanup_iml_agents5_seed3,3,0.0001,0.5,20,0,-0.10000000000000002,0.16857142857142854,1.25,0.25,1.0
cleanup_iml_agents5_seed3,3,0.0001,0.8,20,0,-0.030000000000000006,0.044285714285714275,1.25,0.95,0.30000000000000004
cleanup_iml_agents5_seed3,3,0.001,0.0,20,0,-1.01,0.3903116883116884,10.1,0.0,10.1
cleanup_iml_agents5_seed3,3,0.001,0.2,20,0,-0.79,0.3962380952380953,10.1,2.2,7.8999999999999995
cleanup_iml_agents5_seed3,3,0.001,0.5,20,0,-0.5250000000000001,0.32104761904761914,10.1,4.85,5.25
cleanup_iml_agents5_seed3,3,0.001,0.8,20,0,-0.195,0.27995238095238095,10.1,8.15,1.9499999999999993
cleanup_iml_agents5_seed3,3,0.01,0.0,20,0,-10.165000000000001,0.40351371322471896,101.65,0.0,101.65
cleanup_iml_agents5_seed3,3,0.01,0.2,20,0,-8.03,0.4354863665183138,101.6,21.3,80.3
cleanup_iml_agents5_seed3,3,0.01,0.5,20,0,-5.0649999999999995,0.370613296817076,101.6,50.95,50.64999999999999
cleanup_iml_agents5_seed3,3,0.01,0.8,20,0,-1.975,0.3976849816849818,101.6,81.85,19.75
cleanup_iml_agents5_seed4,4,0.0001,0.0,20,0,-0.12500000000000003,0.18523809523809517,1.25,0.0,1.25
cleanup_iml_agents5_seed4,4,0.0001,0.2,20,0,-0.11000000000000003,0.1885714285714285,1.25,0.15,1.1
cleanup_iml_agents5_seed4,4,0.0001,0.5,20,0,-0.10000000000000002,0.16857142857142854,1.25,0.25,1.0
cleanup_iml_agents5_seed4,4,0.0001,0.8,20,0,-0.030000000000000006,0.044285714285714275,1.25,0.95,0.30000000000000004
cleanup_iml_agents5_seed4,4,0.001,0.0,20,0,-1.01,0.3903116883116884,10.1,0.0,10.1
cleanup_iml_agents5_seed4,4,0.001,0.2,20,0,-0.79,0.3962380952380953,10.1,2.2,7.8999999999999995
cleanup_iml_agents5_seed4,4,0.001,0.5,20,0,-0.5250000000000001,0.32104761904761914,10.1,4.85,5.25
cleanup_iml_agents5_seed4,4,0.001,0.8,20,0,-0.195,0.27995238095238095,10.1,8.15,1.9499999999999993
cleanup_iml_agents5_seed4,4,0.01,0.0,20,0,-10.165000000000001,0.40351371322471896,101.65,0.0,101.65
cleanup_iml_agents5_seed4,4,0.01,0.2,20,0,-8.03,0.4354863665183138,101.6,21.3,80.3
cleanup_iml_agents5_seed4,4,0.01,0.5,20,0,-5.0649999999999995,0.370613296817076,101.6,50.95,50.64999999999999
cleanup_iml_agents5_seed4,4,0.01,0.8,20,0,-1.975,0.3976849816849818,101.6,81.85,19.75
